subject,theta_centroid,alpha_centroid,theta_peak,alpha_peak,PCI,convergence,theta_frontal,dataset
sub-010194,5.750570046837384,10.502430945323628,4.39453125,10.498046875,-0.11912818548269634,0.21044387059363645,5.373679212046605,LEMON
sub-010195,5.7179227449154615,10.381773127451751,4.638671875,10.6201171875,-0.045630297513289404,0.21441511154484788,5.496318225957607,LEMON
sub-010196,6.1753831068548015,9.62603429646953,7.9345703125,9.3994140625,1.223304353250176,0.28980037246582774,5.619489927627881,LEMON
sub-010197,5.704334523550026,9.96404645640867,5.9814453125,8.056640625,0.4346948014657864,0.2347576586778513,5.551886217455362,LEMON
sub-010199,6.125316646114127,9.453232551315846,7.9345703125,9.033203125,1.1587817889006744,0.30048836223203357,5.326523795432262,LEMON
sub-010200,6.1310763670709765,9.495800653596708,7.9345703125,9.3994140625,1.1808083854542162,0.29720117158025944,5.43731213996755,LEMON
sub-010201,5.825305888810865,9.99061502629727,4.0283203125,9.27734375,0.6699284127478112,0.24007821916513486,5.47465115273593,LEMON
sub-010202,5.604464440694813,10.596376408314509,4.0283203125,11.71875,-0.576934568902886,0.2003240454732683,5.409841857469134,LEMON
sub-010204,6.038085689622414,9.789038088003242,7.568359375,9.27734375,1.5347610707365413,0.26659895775581416,5.543107424149997,LEMON
sub-010207,5.959266242680535,9.962766650730876,6.2255859375,8.1787109375,1.024061490965513,0.24978141578034424,5.701389642932811,LEMON
sub-010210,5.679070009778092,10.696163172047871,4.0283203125,10.7421875,-0.5231097601493699,0.19931860295526002,5.271196710585127,LEMON
sub-010213,6.249243780646378,9.575216292736322,7.9345703125,9.6435546875,1.1169878389264787,0.30066394005512365,5.431476159760095,LEMON
sub-010214,5.752921181177294,10.549731674635254,4.2724609375,10.25390625,-0.17078338826962297,0.20847185882449001,5.430690078662128,LEMON
sub-010215,5.914319177488586,10.53330872727178,4.7607421875,10.986328125,0.1932763010177419,0.21649756710251444,5.391869333786195,LEMON
sub-010216,6.294575797391877,9.94336940066014,7.568359375,9.27734375,1.3245895349972943,0.2740631860087371,5.872172440350625,LEMON
sub-010218,6.163121951129774,10.115329738199652,7.568359375,9.8876953125,1.3143896937717094,0.2530231338725712,5.478823524000232,LEMON
sub-010220,6.388304892214975,9.67705919829938,7.9345703125,9.8876953125,1.05762326941257,0.30406649659110635,5.71104952477352,LEMON
sub-010222,5.692150608390694,10.739402946000745,4.0283203125,10.7421875,-0.5472205744407136,0.19812760153646589,5.252186009251762,LEMON
sub-010223,5.738528636372469,10.433198867365588,4.150390625,10.6201171875,-0.06242601856826994,0.21300750655461015,5.688325250342434,LEMON
sub-010224,5.830716418170757,10.412780602324728,4.0283203125,10.25390625,0.15957551797740885,0.21824225061234911,5.500755574225389,LEMON
sub-010226,5.658145675150559,10.10687043095523,4.39453125,9.3994140625,0.15679443031442092,0.22478351772498528,5.299233140280647,LEMON
sub-010227,6.252956055061945,9.58333073380129,7.9345703125,9.521484375,1.1183946933051672,0.3002665154716263,5.377787446182473,LEMON
sub-010228,5.78687625615639,10.160826265926506,5.615234375,10.3759765625,0.3696545709788183,0.22862629837247672,5.590450392438499,LEMON
sub-010230,6.166012287325255,10.09586034494834,5.9814453125,9.27734375,1.3552977672723632,0.25446276429446396,5.831479945913448,LEMON
sub-010231,5.79887834181454,10.432543791224226,4.638671875,10.25390625,0.06844743468487126,0.21581186879328906,5.358452595139007,LEMON
sub-010232,5.722805665880776,10.245474187685923,4.8828125,9.3994140625,0.12890270268402604,0.22110839987027545,5.698703560847579,LEMON
sub-010233,5.863813737782152,10.372995419745122,6.4697265625,10.498046875,0.2769097244692166,0.22176972908411904,5.532396034548741,LEMON
sub-010234,5.94488495765222,9.76556799786532,4.150390625,9.8876953125,1.2998637843929646,0.26173330513808457,5.350614436652249,LEMON
sub-010236,6.287093110896419,9.484434704047189,7.9345703125,8.9111328125,1.0379495912837837,0.31275982589478835,5.575795290784502,LEMON
sub-010238,6.248024519114842,9.667161923026958,7.9345703125,9.27734375,1.1744453396287076,0.292471428277734,5.832571100733692,LEMON
sub-010239,5.702776265485338,9.583648451936575,4.150390625,8.7890625,0.9483957341291761,0.2576740361332085,5.45848307801299,LEMON
sub-010240,5.77886268998934,9.934223469560818,4.150390625,9.765625,0.6391921463571832,0.24065299093069964,5.4117030757457325,LEMON
sub-010241,5.681054806940284,10.51111697980758,5.4931640625,10.8642578125,-0.28501051353918194,0.20703667245060833,5.406884093833057,LEMON
sub-010242,5.984961369772226,10.535889330858886,6.4697265625,10.7421875,0.3373627896811867,0.21973540529549987,5.962470146795647,LEMON
sub-010243,6.319309917662637,9.528569696504617,7.9345703125,8.7890625,1.0357757874801823,0.31159833385654967,5.326079288594764,LEMON
sub-010244,5.977270554116292,10.775563643826612,6.4697265625,10.6201171875,0.0430363012124293,0.20840744433566305,5.596667481044338,LEMON
sub-010245,6.659190393664969,9.329591566263588,7.9345703125,8.544921875,0.7906587566122688,0.3744755695365729,5.499730869152305,LEMON
sub-010246,6.839467009399689,9.48309319435277,7.9345703125,8.544921875,0.7664927223213027,0.37826830649952414,5.484006747729315,LEMON
sub-010247,6.325088774652584,9.644022803117958,7.9345703125,9.521484375,1.090559231429268,0.30130155990548124,5.397822877796714,LEMON
sub-010248,6.619301609678644,9.928270276345607,7.9345703125,8.544921875,1.0119778470471033,0.3022089662176443,5.900164556990892,LEMON
sub-010249,6.199873408487917,9.582180049838591,7.9345703125,9.1552734375,1.1676500589087548,0.2956562210458436,5.382566131363896,LEMON
sub-010250,6.492676549836131,9.939351279879933,7.6904296875,10.1318359375,1.112072573522816,0.29013471775658145,5.466018705414132,LEMON
sub-010251,5.994427987598976,10.30194726084796,4.0283203125,10.7421875,0.6428026414518238,0.23215218239656096,5.685150108024181,LEMON
sub-010252,5.576650512101826,10.049027727194147,4.39453125,10.009765625,0.048357974590762035,0.22359473539607444,5.657875921339656,LEMON
sub-010254,6.32984456934584,9.38864333897536,7.9345703125,8.1787109375,0.9657567175420867,0.32692572323779234,5.360476134652594,LEMON
sub-010255,5.7578838496284455,10.299027881260816,4.0283203125,9.765625,0.13999019862006903,0.22020882690226798,5.60198414158527,LEMON
sub-010256,6.079149596580476,10.075801311612045,7.9345703125,9.6435546875,1.1552233641435,0.2502094431293474,5.471808700194676,LEMON
sub-010257,5.845314994380296,9.71935621183593,4.0283203125,8.30078125,1.105639547691847,0.2581283842552334,5.468650687901403,LEMON
sub-010258,5.776210574858832,9.781807138928905,4.0283203125,8.1787109375,0.840428887998963,0.24965070346073584,5.410537251137564,LEMON
sub-010260,6.266088866306935,10.3877277223486,7.9345703125,10.7421875,1.152084825881214,0.24262193630433185,5.729273283199985,LEMON
sub-010261,5.829484119326051,10.122857065915367,4.0283203125,10.1318359375,0.509201835526608,0.23291710560444245,5.632699510832578,LEMON
sub-010262,6.199992131275011,9.851644936137689,7.9345703125,9.8876953125,1.3761604685087148,0.2738485977276817,5.758687535904436,LEMON
sub-010263,6.5673438808529045,9.291648190724512,7.568359375,9.3994140625,0.815253590791421,0.3670661887427431,5.719159815284651,LEMON
sub-010264,5.913649389765929,10.36433008968582,4.150390625,10.498046875,0.39265753061888103,0.22468473193729652,5.352569430166704,LEMON
sub-010265,6.273950471114554,10.647044997497046,6.4697265625,11.1083984375,0.8115464599136544,0.22867102322327781,6.091617319934299,LEMON
sub-010266,5.876214173425947,10.370661976025769,4.0283203125,11.1083984375,0.3059046723014763,0.22249674352020468,5.489367004040668,LEMON
